Province,U_R,COICOP,Products,Weights,Date,Index,Source
0,0,05,"Furnishing, household equipment and routine household maintenance ",345.92335209688025,2010-03-01,95.26769344566176,All Rwanda
0,0,06,Health,121.09522911844475,2010-03-01,87.16564960818349,All Rwanda
0,0,07,Transport,772.5927231856721,2010-03-01,88.42608018557603,All Rwanda
0,0,08,Communication,238.1321768462081,2010-03-01,109.5298043571873,All Rwanda
0,0,09,Recreation and culture,218.13981330048003,2010-03-01,95.55287857623233,All Rwanda
0,0,10,Education,200.9885867838568,2010-03-01,65.66504432154642,All Rwanda
0,0,11,Restaurants and hotels,643.9875038495742,2010-03-01,86.59363053744285,All Rwanda
0,0,12,Miscellaneous goods and services,515.9834508284413,2010-03-01,85.15094321102934,All Rwanda
0,0,00,GENERAL INDEX (CPI),10000.000000000005,2010-04-01,82.13248711658485,All Rwanda
0,0,01,Food and non-alcoholic beverages,3903.5428337111343,2010-04-01,78.0895703008317,All Rwanda
0,0,01.1.1,Bread and cereals,662.2591994582781,2010-04-01,86.87434802294372,All Rwanda
0,0,01.1.2,Meat,173.7715732678241,2010-04-01,80.85711336323745,All Rwanda
0,0,01.1.4,"Milk, cheese and eggs",112.97526668095993,2010-04-01,67.57782700857985,All Rwanda
0,0,01.1.7,Vegetables,1842.8570486570281,2010-04-01,76.31599956951634,All Rwanda
0,0,01.2,Non-alcoholic beverages,114.62930950425736,2010-04-01,84.36649132125696,All Rwanda
0,0,02,Alcoholic beverages and tobacco,680.8440217778525,2010-04-01,92.20567107617181,All Rwanda
0,0,03,Clothing and footwear,530.9944773078367,2010-04-01,86.37015541863965,All Rwanda
0,0,04,"Housing, water, electricity, gas and other fuels",1827.7758311936157,2010-04-01,87.7122386923265,All Rwanda
0,0,05,"Furnishing, household equipment and routine household maintenance ",345.92335209688025,2010-04-01,96.07443016415928,All Rwanda
0,0,06,Health,121.09522911844475,2010-04-01,87.19075677461197,All Rwanda
0,0,07,Transport,772.5927231856721,2010-04-01,88.12773089227407,All Rwanda
0,0,08,Communication,238.1321768462081,2010-04-01,109.59851780505053,All Rwanda
0,0,09,Recreation and culture,218.13981330048003,2010-04-01,96.14099810665708,All Rwanda
0,0,10,Education,200.9885867838568,2010-04-01,65.44247309808502,All Rwanda
0,0,11,Restaurants and hotels,643.9875038495742,2010-04-01,86.74781295839743,All Rwanda
0,0,12,Miscellaneous goods and services,515.9834508284413,2010-04-01,84.7609882736306,All Rwanda
0,0,00,GENERAL INDEX (CPI),10000.000000000005,2010-05-01,82.13596602116833,All Rwanda
0,0,01,Food and non-alcoholic beverages,3903.5428337111343,2010-05-01,77.7728625447927,All Rwanda
0,0,01.1.1,Bread and cereals,662.2591994582781,2010-05-01,85.28934878499382,All Rwanda
0,0,01.1.2,Meat,173.7715732678241,2010-05-01,81.00575334332275,All Rwanda
0,0,01.1.4,"Milk, cheese and eggs",112.97526668095993,2010-05-01,67.41686839387692,All Rwanda
